agent,prey,pred,agentPreyDist,agentPredDist,preyPredDist,utility
0,13,28,5,10,8,2.9159530781685876
0,13,29,5,9,9,2.9127308129838094
0,13,30,5,10,10,2.9117823888233305
0,13,31,5,10,11,2.9111394383782256
0,13,32,5,10,11,2.9111394383782256
0,13,33,5,9,11,2.9114342930761365
0,13,34,5,8,10,2.911453545417784
0,13,35,5,7,11,2.9130922941460855
0,13,36,5,7,12,2.913090863307608
0,13,37,5,6,11,2.9144805211462286
0,13,38,5,7,12,2.9133183629264785
0,13,39,5,6,11,2.914475661670005
0,13,40,5,5,10,2.919641029709742
0,13,41,5,4,9,2.9239165057514187
0,13,42,5,4,9,2.9246256367668533
0,13,43,5,4,8,2.935886359044047
0,13,44,5,3,8,2.935886359044047
0,13,45,5,2,7,2.947032791379816
